State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,
Bihar,Siwan,2009,N.A.,N.A.,N.A.,N.A.,N.A.,1.4,63.6,246.8,63.6,21.6,N.A.,N.A.,397,,,
Bihar,Siwan,2010,N.A.,N.A.,N.A.,N.A.,N.A.,25.3,266.3,157.3,343,72.1,N.A.,N.A.,864,,,
Bihar,Supaul,2004,17.2,0,0,8.4,24.8,455,797.1,71,50.4,20.3,N.A.,0,N.A.,,,
Bihar,Supaul,2005,N.A.,N.A.,N.A.,6.6,0.4,128.3,121.1,N.A.,N.A.,0,N.A.,0,N.A.,,,
Bihar,Supaul,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Supaul,2007,N.A.,N.A.,N.A.,N.A.,25.2,N.A.,46,N.A.,12.5,0,0,N.A.,N.A.,,,
Bihar,Supaul,2008,1.2,0,2.4,10.8,0.8,N.A.,98.3,83.1,37.5,9,0,0.4,N.A.,,,
Bihar,Supaul,2009,0,0,0,0,N.A.,N.A.,184.8,342.6,97,45,N.A.,N.A.,669.4,,,
Bihar,Supaul,2010,0,N.A.,N.A.,11,250.2,100.1,262.6,107.4,141.6,20.7,0.2,0,893.8,,,
Bihar,Vaishali,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Vaishali,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Vaishali,2006,N.A.,N.A.,N.A.,N.A.,N.A.,6.5,195.2,85.5,243.3,18.4,N.A.,0,N.A.,,,
Bihar,Vaishali,2007,0,18.9,N.A.,4.2,N.A.,151,593.4,311.9,323.9,145,0,N.A.,N.A.,,,
Bihar,Vaishali,2008,12.6,2,N.A.,19.4,43.6,348.3,598,208.6,110.8,13.2,N.A.,N.A.,N.A.,,,
Bihar,Vaishali,2009,N.A.,0,0,0,N.A.,73.9,67.1,235.7,97.3,50.2,4.2,1.5,N.A.,,,
Bihar,Vaishali,2010,0,0,0,0,N.A.,68,134.6,149.3,114.7,105.8,0,0,N.A.,,,
Bihar,West Champaran,2004,N.A.,0,0,0,0,106.1,457.4,153.1,211.1,24.9,7.8,0,N.A.,,,
Bihar,West Champaran,2005,N.A.,16.6,N.A.,N.A.,N.A.,92.8,306.1,481.9,99.5,117.1,50.4,4,N.A.,,,
Bihar,West Champaran,2006,N.A.,N.A.,N.A.,N.A.,0,259.7,437.5,432.5,225.8,26.7,N.A.,N.A.,N.A.,,,
Bihar,West Champaran,2007,N.A.,32.4,N.A.,N.A.,N.A.,88,793.6,492.7,847.8,0,N.A.,N.A.,N.A.,,,
Bihar,West Champaran,2008,N.A.,N.A.,N.A.,N.A.,N.A.,225.1,508.6,458.1,154.8,19.8,N.A.,N.A.,N.A.,,,
Bihar,West Champaran,2009,N.A.,N.A.,N.A.,N.A.,151.2,159,470.1,471.3,112.8,73,N.A.,N.A.,N.A.,,,
Bihar,West Champaran,2010,0.5,N.A.,N.A.,N.A.,N.A.,158.6,486,608.9,454.5,74.2,0,0,N.A.,,,
